Owner Name,Cat Name,Cat Age,Cat Breed,Hair Type,Self-Playing Activities,Interactive Activities,Activity Duration (min),Zoomies,Food Types,Portion Size (grams),Feeding Frequency (times/day),Feeding Schedule,Current Weight (kg),Last Vet Visit,Next Vaccination Date,Last Anti-parasitic Treatment,Grooming,Grooming Frequency (times/week),Clean Teeth,Last Teeth Cleaning,Teeth Cleaning Method,Hairball Prevention Frequency (times/week),Hairball Prevention Measures,Average Sleep Duration (hours/night),Sleep Quality (1-10),Awareness of Teeth Cleaning Needs,Awareness of Shedding Management,Awareness of Ear and Eye Care,Awareness of Playtime Importance,Awareness of Hairball Prevention
Owner1,Ginger,7,Unknown,Short Hair,Hunting,None,66,No,Dry Food,60,1,Free Feeding,4.59,Unknown,Unknown,03/01/2024,No,0,No,None,None,3,Special Food,12.1,6,Yes,Yes,No,Yes,No
Owner2,Callie,15,Unknown,Middle Hair,Running,Fetching,38,No,Wet Food,134,2,Routine Feeding,7.18,09/07/2023,09/03/2025,11/09/2023,No,0,No,None,None,4,Malt Paste,11.9,5,No,Yes,Yes,No,No
Owner3,Pepper,11,American Curl,Short Hair,Running,Fetching,87,Yes,Dry Food,75,1,Routine Feeding,6.6,22/09/2022,Unknown,15/01/2024,Yes,3,No,None,None,4,Malt Paste,13.3,7,Yes,No,No,No,No
Owner4,Callie,8,Unknown,Middle Hair,Running,None,101,No,Dry Food,112,1,Free Feeding,6.25,10/05/2023,10/08/2024,26/09/2023,Yes,3,No,None,None,6,Special Food,9.1,5,Yes,No,No,No,No
Owner5,Sammy,7,Burmilla,Middle Hair,Running,Playing with toys,78,No,Raw Diet,135,1,Routine Feeding,7.63,09/09/2023,Unknown,06/10/2023,No,2,No,None,None,4,Brushing,8.2,9,No,No,No,Yes,Yes
Owner6,Whiskers,19,Unknown,Long Hair,Playing with toys,Playing with toys,56,Yes,Tuna,108,2,Routine Feeding,7.95,Unknown,Unknown,15/06/2024,Yes,1,Yes,18/03/2023,Brushing,6,Special Food,10.5,10,No,Yes,Yes,Yes,Yes
Owner7,Sadie,11,Unknown,Middle Hair,Running,Fetching,103,No,Homemade,76,2,Routine Feeding,3.63,25/12/2023,11/09/2024,16/02/2024,No,4,Yes,15/11/2023,Brushing,2,Malt Paste,13.6,10,No,No,No,No,No
Owner8,Toby,11,Aegean,Long Hair,Hunting,Playing with toys,119,Yes,Dry Food,147,2,Free Feeding,6.09,05/05/2023,Unknown,21/10/2023,Yes,4,Yes,25/08/2023,Brushing,3,Malt Paste,9.6,10,No,Yes,No,Yes,No
Owner9,Coco,4,Unknown,Short Hair,Hunting,Cuddling,71,Yes,Wet Food,154,1,Routine Feeding,7.6,05/09/2023,10/07/2025,22/09/2023,Yes,4,No,None,Professional Cleaning,1,Special Food,13.4,10,No,Yes,Yes,Yes,Yes
Owner10,Mittens,8,Unknown,Short Hair,Running,Fetching,78,Yes,Dry Food,148,2,Routine Feeding,6.47,19/03/2024,Unknown,03/07/2024,No,2,No,None,Professional Cleaning,5,Malt Paste,15.8,10,No,No,Yes,Yes,No
