Owner Name,Cat Name,Cat Age,Cat Breed,Hair Type,Self-Playing Activities,Interactive Activities,Activity Duration (min),Zoomies,Food Types,Portion Size (grams),Feeding Frequency (times/day),Feeding Schedule,Current Weight (kg),Last Vet Visit,Next Vaccination Date,Last Anti-parasitic Treatment,Grooming,Grooming Frequency (times/week),Clean Teeth,Last Teeth Cleaning,Teeth Cleaning Method,Hairball Prevention Frequency (times/week),Hairball Prevention Measures,Average Sleep Duration (hours/night),Sleep Quality (1-10),Awareness Category,Response
Owner1,Cat1,7,Persian,Short Hair,Hunting,,66,No,Wet Food,158,3,Routine Feeding,6.68,2023-06-05 13:56:18.205303,2025-03-08 13:56:18.206304,2024-01-06 13:56:18.206304,Yes,5,No,2023-08-23 13:56:18.207303,,2,Malt Paste,11.2,10,Awareness of Teeth Cleaning Needs,No
Owner2,Cat2,15,Siamese,Middle Hair,Running,Fetching,38,No,Dry Food,54,3,Free Feeding,5.78,2023-08-03 13:56:18.205303,2025-02-26 13:56:18.206304,2024-03-14 13:56:18.206304,Yes,4,No,2023-04-04 13:56:18.207303,Brushing,1,Brushing,11.8,8,Awareness of Teeth Cleaning Needs,No
Owner3,Cat3,11,Siamese,Short Hair,Running,Fetching,87,Yes,Tuna,168,1,Free Feeding,5.09,2022-10-31 13:56:18.205303,2026-02-11 13:56:18.206304,2024-05-29 13:56:18.206304,No,0,No,2023-05-27 13:56:18.207303,Professional Cleaning,5,Brushing,13.5,6,Awareness of Teeth Cleaning Needs,No
Owner4,Cat4,8,Bengal,Middle Hair,Running,,101,No,Tuna,82,1,Routine Feeding,4.77,2023-05-21 13:56:18.205303,2024-09-01 13:56:18.206304,2024-05-11 13:56:18.206304,No,0,Yes,2023-04-16 13:56:18.207303,Professional Cleaning,3,,8.1,8,Awareness of Teeth Cleaning Needs,No
Owner5,Cat5,7,Siamese,Middle Hair,Running,Playing with toys,78,No,Dry Food,167,2,Free Feeding,4.42,2024-01-14 13:56:18.205303,2026-03-13 13:56:18.206304,2024-03-06 13:56:18.206304,No,4,No,2022-12-06 13:56:18.207303,,6,Malt Paste,10.6,10,Awareness of Teeth Cleaning Needs,No
Owner6,Cat6,19,Bengal,Long Hair,Playing with toys,Playing with toys,56,Yes,Dry Food,114,2,Free Feeding,7.61,2024-07-13 13:56:18.205303,2026-03-08 13:56:18.206304,2023-09-08 13:56:18.206304,Yes,5,No,2023-11-24 13:56:18.207303,Brushing,3,Special Food,15.8,7,Awareness of Teeth Cleaning Needs,No
Owner7,Cat7,11,Siamese,Middle Hair,Running,Fetching,103,No,Wet Food,195,1,Free Feeding,7.07,2022-12-25 13:56:18.205303,2025-04-02 13:56:18.206304,2023-07-17 13:56:18.206304,Yes,6,Yes,2023-12-03 13:56:18.207303,Professional Cleaning,4,Brushing,12.6,8,Awareness of Teeth Cleaning Needs,Yes
Owner8,Cat8,11,Persian,Long Hair,Hunting,Playing with toys,119,Yes,Tuna,60,2,Free Feeding,7.81,2023-07-09 13:56:18.205303,2025-09-03 13:56:18.206304,2024-01-03 13:56:18.206304,Yes,0,Yes,2023-05-29 13:56:18.207303,Brushing,0,,10.0,5,Awareness of Teeth Cleaning Needs,No
Owner9,Cat9,4,Siamese,Short Hair,Hunting,Cuddling,71,Yes,Tuna,134,1,Routine Feeding,3.18,2022-09-22 13:56:18.205303,2024-10-16 13:56:18.206304,2023-09-11 13:56:18.206304,No,6,No,2022-12-20 13:56:18.207303,Professional Cleaning,4,Special Food,12.2,8,Awareness of Teeth Cleaning Needs,No
Owner10,Cat10,8,Bengal,Short Hair,Running,Fetching,78,Yes,Dry Food,75,2,Free Feeding,6.52,2023-05-10 13:56:18.205303,2024-10-08 13:56:18.206304,2024-01-15 13:56:18.206304,Yes,0,No,2023-08-14 13:56:18.207303,Brushing,2,Malt Paste,10.7,6,Awareness of Teeth Cleaning Needs,Yes
